timestamp,model,modalidad,algorithm,elapsed_s,peak_ram_MB
2026-07-04T23:38:25.532478,qwen_vl,texto,SCK1,132.4323,200.33
2026-07-04T23:52:28.696364,qwen_vl,texto,BAT,607.4947,209.33
2026-07-04T23:52:28.714379,qwen_vl,texto,CSCLP,133.2291,201.0
2026-07-04T23:52:28.719375,qwen_vl,texto,Kmedoids,130.5816,196.38
2026-07-04T23:52:28.722375,qwen_vl,texto,ACO,837.5421,203.52
2026-07-04T23:52:28.725383,qwen_vl,texto,PSO,292.2324,195.13
2026-07-04T23:52:28.728376,qwen_vl,texto,HCAKC,436.9138,193.49
2026-07-04T23:52:28.731375,qwen_vl,texto,KM-MILP,143.0009,204.89
2026-07-04T23:52:28.734382,qwen_vl,texto,SCK1,116.4876,201.24
2026-07-05T00:10:03.980888,qwen_vl,texto,BAT,785.3047,211.93
2026-07-05T00:10:04.000192,qwen_vl,texto,CSCLP,206.2175,202.08
2026-07-05T00:10:04.015751,qwen_vl,texto,Kmedoids,205.1253,202.0
2026-07-05T00:10:04.017769,qwen_vl,texto,ACO,1048.8149,227.73
2026-07-05T00:10:04.021800,qwen_vl,texto,PSO,392.6792,201.9
2026-07-05T00:10:04.023817,qwen_vl,texto,HCAKC,423.4339,202.41
2026-07-05T00:10:04.025831,qwen_vl,texto,KM-MILP,261.3887,202.25
2026-07-05T00:10:04.027846,qwen_vl,texto,SCK1,180.2544,202.2
2026-07-05T00:29:06.804184,qwen_vl,texto,BAT,864.5866,212.02
2026-07-05T00:29:06.880709,qwen_vl,texto,CSCLP,294.044,201.82
2026-07-05T00:29:06.883711,qwen_vl,texto,Kmedoids,290.0736,201.99
2026-07-05T00:29:06.887712,qwen_vl,texto,ACO,1135.7882,212.09
2026-07-05T00:29:06.889711,qwen_vl,texto,PSO,464.6779,202.27
2026-07-05T00:29:06.892714,qwen_vl,texto,HCAKC,566.7634,202.04
2026-07-05T00:29:06.896711,qwen_vl,texto,KM-MILP,274.8394,201.88
2026-07-05T00:29:06.898713,qwen_vl,texto,SCK1,183.8707,214.39
2026-07-05T00:58:01.022889,qwen_vl,texto,BAT,1107.7044,212.69
